Rule,Utilitarian Ratio,Representation Ratio,Raw Representation Score,EJR Score,JR Score,PJR Score
av,0.981,0.946,94.63,1.0,1.0,1.0
cc,0.81,1.0,100.0,0.98,1.0,0.99
seqcc,0.875,1.0,99.99,1.0,1.0,1.0
rule-x,0.98,0.973,97.32,1.0,1.0,1.0
minimaxav,0.853,1.0,100.0,1.0,1.0,1.0
sav,0.981,0.946,94.63,1.0,1.0,1.0
slav,0.976,0.981,98.09,1.0,1.0,1.0
pav,0.981,0.97,97.05,1.0,1.0,1.0
seqpav,0.981,0.97,97.04,1.0,1.0,1.0
geom1.5,0.981,0.97,96.99,1.0,1.0,1.0
geom2,0.973,0.984,98.41,1.0,1.0,1.0
geom5,0.925,0.999,99.93,1.0,1.0,1.0
monroe,0.906,1.0,99.96,1.0,1.0,1.0
